id,vocab,vocab_pinyin,vocab_trans_vi,vocab_trans_en,example,example_pinyin,example_trans_vi,example_trans_en,level
37,过,guò,"qua, đi qua","through, go through",请过安检门。,Qǐng guò ānjiǎn mén.\,Mời đi qua cửa an ninh.,Please go through security.,2
38,还,hái,"vẫn, còn",still,我还想要一杯水。,Wǒ hái xiǎng yào yī bēi shuǐ.,Tôi còn muốn một cốc nước.,I would like a glass of water too.,2
39,孩子,háizi,trẻ con,children,孩子们都在玩。,Háizimen dōu zài wán.,Những đứa trẻ đang chơi.,The children are playing.,2
40,好吃,hǎochī,ngon,tasty,这道菜很好吃。,Zhè dào cài hěn hǎo chī.,Món ăn này rất ngon.,This dish is delicious.,2
41,号,hào,"số (như số điện thoại, số nhà)","number (like phone number, house number)",你的手机号是多少？,Nǐ de shǒujī hào shì duōshǎo?,Số điện thoại của bạn là bao nhiêu?,What is your phone number?,2
42,黑,hēi,đen,black,我的车是黑色的。,Wǒ de chē shì hēisè de.,Xe của tôi màu đen.,My car is black.,2
43,红,hóng,đỏ,red,她喜欢红色的衣服。,Tā xǐhuān hóngsè de yīfú.,Cô ấy thích quần áo màu đỏ.,She likes red clothes.,2
44,欢迎,huānyíng,"hoan nghênh, chào mừng",welcome,欢迎你来我家。,Huānyíng nǐ lái wǒ jiā.,Chào mừng bạn đến nhà tôi.,Welcome to my home.,2
45,回答,huídá,trả lời,reply,请回答我的问题。,Qǐng huídá wǒ de wèntí.,Xin trả lời câu hỏi của tôi.,Please answer my question.,2
46,机场,jīchǎng,sân bay,airport,机场离这里很近。,Jīchǎng lí zhèlǐ hěn jìn.,Sân bay gần đây.,Airport nearby.,2
47,鸡蛋,jīdàn,trứng gà,eggs,我喜欢吃鸡蛋。,Wǒ xǐhuān chī jīdàn.,Tôi thích ăn trứng.,I like to eat eggs.,2
48,件,jiàn,"cái (dùng cho sự việc, quần áo)","thing (for event, clothes)",这件衣服很好看。,Zhè jiàn yīfú hěn hǎokàn.,Cái áo này rất đẹp.,This shirt is very nice.,2
49,教室,jiàoshì,lớp học,class,学生们在教室里学习。,Xuéshēngmen zài jiàoshì lǐ xuéxí.,Học sinh đang học trong lớp học.,Students are studying in the classroom.,2
50,姐姐,jiějie,chị gái,older sister,姐姐比我大三岁。,Jiějiě bǐ wǒ dà sān suì.,Chị gái lớn hơn tôi ba tuổi.,My sister is three years older than me.,2
51,介绍,jièshào,giới thiệu,introduce,请介绍一下你自己。,Qǐng jièshào yīxià nǐ zìjǐ.,Xin hãy giới thiệu về bản thân.,Please introduce yourself.,2
52,进,jìn,vào,enter,请进，别客气。,"Qǐng jìn, bié kèqì.","Mời vào, đừng khách sáo.","Come in, don't be shy.",2
53,近,jìn,gần,near the,学校离我家很近。,Xuéxiào lí wǒ jiā hěn jìn.,Trường học gần nhà tôi.,The school is near my house.,2
54,就,jiù,"thì, ngay","then, now",他就住在我家旁边。,Tā jiù zhù zài wǒ jiā pángbiān.,Anh ấy sống ngay cạnh nhà tôi.,He lives next door to me.,2
55,觉得,juéde,cảm thấy,feel,我觉得今天很热。,Wǒ juéde jīntiān hěn rè.,Tôi cảm thấy hôm nay rất nóng.,I feel very hot today.,2
56,咖啡,kāfēi,cà phê,coffee,我每天早上喝咖啡。,Wǒ měitiān zǎoshang hē kāfēi.,Tôi uống cà phê mỗi sáng.,I drink coffee every morning.,2
57,开始,kāishǐ,bắt đầu,begin,我们现在开始上课。,Wǒmen xiànzài kāishǐ shàngkè.,Bây giờ chúng ta bắt đầu học.,Now let's start learning.,2
58,考试,kǎoshì,thi,exam,我准备好考试了。,Wǒ zhǔnbèi hǎo kǎoshì le.,Tôi đã chuẩn bị sẵn sàng cho kỳ thi.,I am ready for the exam.,2
59,可能,kěnéng,có thể,maybe,可能会下雨。,Kěnéng huì xiàyǔ.,Có thể sẽ mưa.,It might rain.,2
60,可以,kěyǐ,có thể,maybe,你可以坐在这里。,Nǐ kěyǐ zuò zài zhèlǐ.,Bạn có thể ngồi ở đây.,You can sit here.,2
61,课,kè,bài học,lesson,我们今天有三节课。,Wǒmen jīntiān yǒu sān jié kè.,Hôm nay chúng ta có ba tiết học.,We have three classes today.,2
62,快,kuài,nhanh,fast,他跑得很快。,Tā pǎo de hěn kuài.,Anh ấy chạy rất nhanh.,He runs very fast.,2
63,快乐,kuàilè,vui vẻ,happy,祝你生日快乐。,Zhù nǐ shēngrì kuàilè.,Chúc bạn sinh nhật vui vẻ.,Happy birthday to you.,2
64,累,lèi,mệt,tired,我累了，想休息一下。,"Wǒ lèile, xiǎng xiūxí yīxià.","Tôi mệt rồi, muốn nghỉ ngơi một chút.","I'm tired, I want to rest a bit.",2
65,离,lí,"cách (khoảng cách), rời","distance, leave",学校离我家不远。,Xuéxiào lí wǒ jiā bù yuǎn.,Trường học không xa nhà tôi.,The school is not far from my house.,2
66,两,liǎng,hai (khi đếm số lượng),two (when counting quantity),我有两个弟弟。,Wǒ yǒu liǎng gè dìdì.,Tôi có hai em trai.,I have two younger brothers.,2
67,路,lù,đường,road,这条路很长。,Zhè tiáo lù hěn cháng.,Con đường này rất dài.,This road is very long.,2
68,旅游,lǚyóu,du lịch,tourism,我喜欢旅游。,Wǒ xǐhuān lǚyóu.,Tôi thích du lịch.,I love to travel.,2
69,卖,mài,bán,sell,他在商店里卖东西。,Tā zài shāngdiàn lǐ mài dōngxī.,Anh ấy bán hàng trong cửa hàng.,He sells goods in the store.,2
70,慢,màn,chậm,slow,他走得很慢。,Tā zǒu de hěn màn.,Anh ấy đi rất chậm.,He walks very slowly.,2
71,忙,máng,bận,busy,我今天很忙。,Wǒ jīntiān hěn máng.,Hôm nay tôi rất bận.,I am very busy today.,2
72,每,měi,mỗi,each,每个人都有机会。,Měi gèrén dōu yǒu jīhuì.,Mỗi người đều có cơ hội.,Everyone has a chance.,2
73,妹妹,mèimei,em gái,younger sister,妹妹在唱歌。,Mèimei zài chànggē.,Em gái đang hát.,The girl is singing.,2
74,门,mén,cửa,door,他站在门口。,Tā zhàn zài ménkǒu.,Anh ấy đứng ở cửa.,He stood at the door.,2
75,男人,nánrén,đàn ông,man,那个男人很高。,Nàgè nánrén hěn gāo.,Người đàn ông đó rất cao.,That man is very tall.,2
76,您,nín,bạn (dùng lịch sự),you (polite),您好，请进。,"Nín hǎo, qǐng jìn.","Xin chào, mời vào.","Hello, come in.",2
77,牛奶,niúnǎi,sữa bò,cow's milk,我每天早上喝牛奶。,Wǒ měitiān zǎoshang hē niúnǎi.,Tôi uống sữa mỗi sáng.,I drink milk every morning.,2
78,女人,nǚrén,phụ nữ,women,那个女人是我妈妈。,Nàgè nǚrén shì wǒ māma.,Người phụ nữ đó là mẹ tôi.,That woman is my mother.,2
79,旁边,pángbiān,bên cạnh,next to,学校在我家旁边。,Xuéxiào zài wǒ jiā pángbiān.,Trường học ở cạnh nhà tôi.,The school is next to my house.,2
80,跑步,pǎobù,chạy bộ,jogging,我每天早上跑步。,Wǒ měitiān zǎoshang pǎobù.,Tôi chạy bộ mỗi sáng.,I jog every morning.,2
81,便宜,piányí,rẻ,cheap,这件衣服很便宜。,Zhè jiàn yīfú hěn piányí.,Cái áo này rất rẻ.,This shirt is very cheap.,2
82,票,piào,vé,ticket,我买了两张电影票。,Wǒ mǎile liǎng zhāng diànyǐng piào.,Tôi đã mua hai vé xem phim.,I bought two movie tickets.,2
83,妻子,qīzi,vợ,wife,这是我的妻子。,Zhè shì wǒ de qīzi.,Đây là vợ tôi.,This is my wife.,2
84,起床,qǐchuáng,dậy (rời khỏi giường),get up (out of bed),我每天六点起床。,Wǒ měitiān liù diǎn qǐchuáng.,Tôi thức dậy lúc sáu giờ mỗi ngày.,I wake up at six o'clock every day.,2
85,千,qiān,nghìn,thousand,我有一千块钱。,Wǒ yǒu yīqiān kuài qián.,Tôi có một ngàn đồng.,I have a thousand dollars.,2
86,晴,qíng,"nắng, quang đãng","sunny, clear",今天是晴天。,Jīntiān shì qíngtiān.,Hôm nay trời nắng.,It's sunny today.,2
87,去年,qùnián,năm ngoái,last year,我去年去了中国。,Wǒ qùnián qùle zhōngguó.,Năm ngoái tôi đã đi Trung Quốc.,I went to China last year.,2
88,让,ràng,"để, làm cho, nhường","to, make, yield",请让他进来。,Qǐng ràng tā jìnlái.,Xin hãy để anh ấy vào.,Please let him in.,2
89,上班,shàngbān,đi làm,go to work,我每天八点上班。,Wǒ měitiān bā diǎn shàngbān.,Tôi đi làm lúc tám giờ mỗi ngày.,I go to work at eight o'clock every day.,2
90,身体,shēntǐ,cơ thể,body,你的身体怎么样？,Nǐ de shēntǐ zěnme yàng?,Sức khỏe của bạn thế nào?,How is your health?,2
91,生病,shēngbìng,bị bệnh,sick,他生病了，不能来上课。,"Tā shēngbìng le, bùnéng lái shàngkè.","Anh ấy bị ốm, không thể đến lớp.",He was sick and couldn't come to class.,2
92,生日,shēngrì,sinh nhật,birthday,今天是我的生日。,Jīntiān shì wǒ de shēngrì.,Hôm nay là sinh nhật của tôi.,Today is my birthday.,2
93,时间,shíjiān,thời gian,time,现在我没有时间。,Xiànzài wǒ méiyǒu shíjiān.,Bây giờ tôi không có thời gian.,I don't have time now.,2
94,事情,shìqíng,việc,job,你在做什么事情？,Nǐ zài zuò shénme shìqíng?,Bạn đang làm việc gì vậy?,What are you doing?,2
95,手表,shǒubiǎo,đồng hồ,clock,这块手表很贵。,Zhè kuài shǒubiǎo hěn guì.,Chiếc đồng hồ này rất đắt.,This watch is very expensive.,2
96,手机,shǒujī,điện thoại di động,cellular phone,我的手机没电了。,Wǒ de shǒujī méi diàn le.,Điện thoại của tôi hết pin rồi.,My phone is out of battery.,2
97,送,sòng,tặng,donate,我送你一本书。,Wǒ sòng nǐ yī běn shū.,Tôi tặng bạn một quyển sách.,I give you a book.,2
98,所以,suǒyǐ,vì vậy,So,他很累，所以休息了。,"Tā hěn lèi, suǒyǐ xiūxí le.","Anh ấy rất mệt, nên đã nghỉ ngơi rồi.","He was very tired, so he rested.",2
99,它,tā,"nó (cho vật, động vật)","it (for thing, animal)",它是一只可爱的小猫。,Tā shì yī zhī kě'ài de xiǎo māo.,Nó là một chú mèo đáng yêu.,It is a lovely cat.,2
100,踢足球,tī zúqiú,đá bóng,play football,我们一起踢足球吧。,Wǒmen yīqǐ tī zúqiú ba.,Chúng ta cùng chơi đá bóng nhé.,Let's play soccer.,2
101,题,tí,"câu hỏi, đề bài","question, topic",这道题很难。,Zhè dào tí hěn nán.,Câu hỏi này rất khó.,This question is very difficult.,2
102,跳舞,tiàowǔ,nhảy múa,dancing,我喜欢跳舞。,Wǒ xǐhuān tiàowǔ.,Tôi thích nhảy múa.,I like dancing.,2
103,外,wài,ngoài,outside,他在外面等你。,Tā zài wàimiàn děng nǐ.,Anh ấy đang đợi bạn ở bên ngoài.,He is waiting for you outside.,2
104,玩,wán,chơi,play,小孩子们在玩游戏。,Xiǎo háizimen zài wán yóuxì.,Các em nhỏ đang chơi trò chơi.,The children are playing games.,2
105,完,wán,"xong, hoàn thành",done,我已经做完了作业。,Wǒ yǐjīng zuò wán le zuòyè.,Tôi đã làm xong bài tập.,I have finished my homework.,2
106,晚上,wǎnshàng,buổi tối,evening,我晚上九点睡觉。,Wǒ wǎnshàng jiǔ diǎn shuìjiào.,Tôi đi ngủ lúc chín giờ tối.,I go to bed at nine o'clock at night.,2
107,为什么,wèishénme,tại sao,Why,你为什么不来？,Nǐ wèishéme bù lái?,Tại sao bạn không đến?,why don't you come,2
108,问,wèn,hỏi,ask,请问你叫什么名字？,Qǐng wèn nǐ jiào shénme míngzì?,Xin hỏi bạn tên là gì?,What is your name?,2
109,问题,wèntí,vấn đề,problem,这个问题很重要。,Zhège wèntí hěn zhòngyào.,Vấn đề này rất quan trọng.,This issue is very important.,2
110,西瓜,xīguā,dưa hấu,watermelon,我喜欢吃西瓜。,Wǒ xǐhuān chī xīguā.,Tôi thích ăn dưa hấu.,I like to eat watermelon.,2
111,希望,xīwàng,hy vọng,hope,我希望你能来。,Wǒ xīwàng nǐ néng lái.,Tôi hy vọng bạn có thể đến.,I hope you can come.,2
112,洗,xǐ,rửa,wash,请洗手。,Qǐng xǐ shǒu.,Xin rửa tay.,Please wash your hands.,2
113,向,xiàng,"hướng về, đối với","towards, towards",向左走。,Xiàng zuǒ zǒu.,Đi về phía bên trái.,Go to the left.,2
114,小时,xiǎoshí,tiếng đồng hồ,hour,我每天学习一个小时。,Wǒ měitiān xuéxí yī gè xiǎoshí.,Tôi học một tiếng mỗi ngày.,I study one hour every day.,2
115,笑,xiào,cười,laugh,他在笑什么？,Tā zài xiào shénme?,Anh ấy đang cười gì vậy?,What is he laughing at?,2
116,新,xīn,mới,new,我有一个新手机。,Wǒ yǒu yī gè xīn shǒujī.,Tôi có một chiếc điện thoại mới.,I have a new phone.,2
117,姓,xìng,họ,Surname,你姓什么？,Nǐ xìng shénme?,Họ của bạn là gì?,What is your last name?,2
118,休息,xiūxi,nghỉ ngơi,rest,我累了，需要休息。,"Wǒ lèile, xūyào xiūxí.","Tôi mệt rồi, cần nghỉ ngơi.","I'm tired, I need to rest.",2
119,雪,xuě,tuyết,snow,明天会下雪。,Míngtiān huì xià xuě.,Ngày mai sẽ có tuyết rơi.,It will snow tomorrow.,2
120,颜色,yánsè,màu sắc,color,你喜欢什么颜色？,Nǐ xǐhuān shénme yánsè?,Bạn thích màu gì?,What color do you like?,2
121,眼睛,yǎnjing,mắt,eye,他的眼睛很大。,Tā de yǎnjīng hěn dà.,Mắt của anh ấy rất to.,His eyes are very big.,2
122,羊肉,yángròu,thịt cừu,lamb,我喜欢吃羊肉。,Wǒ xǐhuān chī yángròu.,Tôi thích ăn thịt cừu.,I like to eat lamb.,2
123,要,yào,"muốn, cần","want, need",我要一杯水。,Wǒ yào yī bēi shuǐ.,Tôi muốn một cốc nước.,I would like a glass of water.,2
124,药,yào,thuốc,medicine,我生病了，要吃药。,"Wǒ shēngbìng le, yào chī yào.","Tôi bị ốm, cần uống thuốc.",I am sick and need medicine.,2
125,也,yě,cũng,also,他也喜欢游泳。,Tā yě xǐhuān yóuyǒng.,Anh ấy cũng thích bơi lội.,He also likes swimming.,2
126,已经,yǐjīng,đã,Satisfied,我已经吃过饭了。,Wǒ yǐjīng chī guò fàn le.,Tôi đã ăn cơm rồi.,I have eaten rice.,2
127,一起,yìqǐ,cùng nhau,together,我们一起去看电影吧。,Wǒmen yīqǐ qù kàn diànyǐng ba.,Chúng ta cùng đi xem phim nhé.,Let's go to the movies.,2
128,意思,yìsi,ý nghĩa,meaning,这是什么意思？,Zhè shì shénme yìsi?,Điều này có nghĩa là gì?,What does this mean?,2
129,阴,yīn,"âm u, trời nhiều mây","gloomy, cloudy",今天是阴天。,Jīntiān shì yīntiān.,Hôm nay là ngày trời âm u.,Today is a cloudy day.,2
130,因为,yīnwèi,vì,because,因为下雨，我不去跑步。,"Yīnwèi xiàyǔ, wǒ bú qù pǎobù.","Vì trời mưa, tôi không đi chạy bộ.","Because it was raining, I didn't go jogging.",2
131,游泳,yóuyǒng,bơi,swim,我喜欢游泳。,Wǒ xǐhuān yóuyǒng.,Tôi thích bơi lội.,I like swimming.,2
132,右边,yòubiān,bên phải,right,他坐在我右边。,Tā zuò zài wǒ yòubiān.,Anh ấy ngồi bên phải tôi.,He sat to my right.,2
133,鱼,yú,cá,fish,我们晚饭吃鱼。,Wǒmen wǎnfàn chī yú.,Chúng tôi ăn cá vào bữa tối.,We ate fish for dinner.,2
134,元,yuán,Đồng (đơn vị tiền tệ),Dong (currency unit),这本书要十元。,Zhè běn shū yào shí yuán.,Quyển sách này giá mười đồng.,This book costs ten dollars.,2
135,远,yuǎn,xa,distant,他家离学校很远。,Tā jiā lí xuéxiào hěn yuǎn.,Nhà anh ấy cách xa trường học.,His house is far from school.,2
136,运动,yùndòng,vận,luck,我每天都运动。,Wǒ měitiān dōu yùndòng.,Tôi tập thể dục mỗi ngày.,I exercise every day.,2
137,再,zài,lại,again,请再说一遍。,Qǐng zài shuō yī biàn.,Xin hãy nói lại một lần nữa.,Please say that again.,2
138,早上,zǎoshàng,buổi sáng,morning,我每天早上六点起床。,Wǒ měitiān zǎoshang liù diǎn qǐchuáng.,Tôi dậy lúc sáu giờ sáng mỗi ngày.,I get up at six o'clock every morning.,2
139,张,zhāng,"tờ, bức (dùng cho vật phẳng, giấy, tranh, bàn)","sheet, picture (used for flat objects, paper, pictures, tables)",这是一张照片。,Zhè shì yī zhāng zhàopiàn.,Đây là một tấm ảnh.,This is a photo.,2
140,丈夫,zhàngfu,chồng,husband,这是我的丈夫。,Zhè shì wǒ de zhàngfu.,Đây là chồng tôi.,This is my husband.,2
141,找,zhǎo,tìm,find,我在找我的钥匙。,Wǒ zài zhǎo wǒ de yàoshi.,Tôi đang tìm chìa khóa của mình.,I'm looking for my keys.,2
142,着,zhe,đang (dùng để chỉ trạng thái hiện tại),currently (used to indicate current state),他在吃着饭呢。,Tā zài chī zhe fàn ne.,Anh ấy đang ăn cơm.,He is eating rice.,2
143,真,zhēn,thật,Real,这个苹果真好吃。,Zhège píngguǒ zhēn hào chī.,Quả táo này thật ngon.,This apple is delicious.,2
144,正在,zhèngzài,đang,in progress,妈妈正在打电话。,Māma zhèngzài dǎ diànhuà.,"Mẹ đang gọi điện thoại.
",Mom is on the phone.,2
145,知道,zhīdào,biết,know,我知道他是谁。,Wǒ zhīdào tā shì shéi.,Tôi biết anh ấy là ai.,I know who he is.,2
146,准备,zhǔnbèi,chuẩn bị,prepare,我正在准备考试。,Wǒ zhèngzài zhǔnbèi kǎoshì.,Tôi đang chuẩn bị cho kỳ thi.,I am preparing for the exam.,2
147,自行车,zìxíngchē,xe đạp,bicycle,他骑自行车去上班。,Tā qí zìxíngchē qù shàngbān.,Anh ấy đi làm bằng xe đạp.,He goes to work by bike.,2
148,走,zǒu,đi,Go,我们一起走吧。,Wǒmen yīqǐ zǒu ba.,Chúng ta cùng đi nhé.,Let's go together.,2
149,最,zuì,nhất (so sánh nhất),most (superlative),这是我最喜欢的书。,Zhè shì wǒ zuì xǐhuān de shū.,Đây là cuốn sách tôi thích nhất.,This is my favorite book.,2
150,左边,zuǒbiān,bên trái,left,他坐在我左边。,Tā zuò zài wǒ zuǒbiān.,Anh ấy ngồi bên trái tôi.,He sat on my left.,2
1,阿姨,āyí,"dì, cô",aunt,阿姨非常喜欢我们。,Āyí fēicháng xǐhuān wǒmen.,Dì rất thích chúng tôi.,She likes us very much.,3
2,啊,a,"a, à, ơ (trợ từ ngữ khí)","a, ah, oh (modal particles)",啊，我忘记了！,"A, wǒ wàngjì le!","À, tôi quên rồi!","Oh, I forgot!",3
3,矮,ǎi,"thấp, lùn",short,他比我矮。,Tā bǐ wǒ ǎi.,Anh ấy thấp hơn tôi.,He is shorter than me.,3
4,爱好,àihào,sở thích,interest,我的爱好是画画儿。,Wǒ de àihào shì huà huàr.,Sở thích của tôi là vẽ tranh.,My hobby is drawing.,3
5,安静,ānjìng,yên tĩnh,quiet,请保持安静。,Qǐng bǎochí ānjìng.,Xin hãy giữ yên lặng.,Please keep quiet.,3
